Instance,Cost_Best,Cost_Worst,Cost_Avg,Time_Best_ms,Time_Worst_ms,Time_Avg_ms,Improvement_Best_%,Improvement_Worst_%,Improvement_Avg_%
ER-068.stp,150.0,151.0,150.7,189811.795,194193.71,192522.023,13.79,7.36,10.73
ER-069.stp,150.0,153.0,152.0,174104.157,181524.203,178016.738,13.22,8.38,10.88
ER-070.stp,139.0,141.0,140.3,193446.467,201087.393,197412.799,13.58,6.67,9.91
ER-071.stp,122.0,124.0,123.0,164380.215,168303.628,167004.004,12.14,5.38,7.61
ER-072.stp,120.0,123.0,121.5,116952.803,119680.236,117737.237,9.7,3.2,7.0
ER-073.stp,446.0,449.0,447.6,107193.0,111605.673,109316.516,6.86,2.6,4.88
ER-074.stp,258.0,260.0,259.4,203122.909,211783.071,205999.544,13.09,4.41,8.86
ER-075.stp,222.0,226.0,224.9,233145.002,242011.186,238278.393,15.91,6.22,9.82
ER-076.stp,195.0,198.0,196.3,231179.153,240076.843,235672.126,12.95,5.31,9.74
ER-077.stp,165.0,168.0,167.4,236687.012,241154.096,238891.597,13.85,5.62,10.31
ER-078.stp,158.0,160.0,158.9,267020.287,277265.242,273424.038,16.4,11.11,13.76
ER-079.stp,145.0,147.0,146.6,237773.901,248279.309,244239.988,12.12,5.77,9.09
ER-080.stp,139.0,142.0,140.9,238079.845,248364.731,243028.853,15.06,7.19,10.25
ER-081.stp,134.0,138.0,135.6,221441.994,229246.445,224355.571,12.99,3.57,8.93
ER-082.stp,500.0,504.0,502.3,219016.638,229434.261,223896.343,13.45,3.64,8.68
ER-083.stp,288.0,291.0,289.4,218875.032,230777.416,222187.709,10.25,4.61,6.86
ER-084.stp,218.0,221.0,219.4,296843.088,306986.759,303041.338,13.73,7.95,10.34
ER-085.stp,185.0,186.0,185.5,306571.223,319568.166,314256.329,11.43,7.46,10.24
ER-086.stp,194.0,197.0,195.8,335134.904,346745.808,341350.024,11.76,8.37,9.8
ER-087.stp,156.0,158.0,156.6,327218.607,337935.703,333913.532,16.49,8.19,10.79
ER-088.stp,149.0,152.0,150.4,350257.673,362287.307,354800.482,13.37,7.36,10.86
ER-089.stp,143.0,145.0,143.7,357939.283,366074.933,361779.044,13.86,7.69,10.48
ER-090.stp,143.0,147.0,145.0,328090.047,335953.503,331759.338,13.69,4.61,8.96
ER-091.stp,505.0,512.0,508.5,212890.996,219613.494,215616.269,7.99,3.4,5.87
ER-092.stp,293.0,298.0,295.4,410555.352,429170.875,421687.787,12.98,8.02,10.28
ER-093.stp,248.0,253.0,250.9,447991.985,472905.054,457405.736,15.02,8.36,11.74
ER-094.stp,214.0,217.0,215.4,449129.37,470627.587,461882.791,13.65,6.49,9.7
ER-095.stp,185.0,189.0,187.9,473447.856,490848.183,480601.269,15.25,5.5,10.65
ER-096.stp,175.0,178.0,176.2,402337.252,411118.209,407379.156,11.62,7.33,9.94
ER-097.stp,157.0,160.0,158.7,492344.348,504543.346,498103.146,16.67,9.71,13.41
ER-098.stp,156.0,162.0,160.0,432092.458,449261.637,439969.251,15.22,6.98,12.37
ER-099.stp,146.0,148.0,147.2,443216.655,455335.484,449273.671,13.45,8.12,10.32
ER-100.stp,552.0,557.0,554.7,313432.085,329441.235,320487.903,10.32,4.98,7.52
ER-101.stp,344.0,347.0,345.3,483383.617,505922.758,490973.243,12.47,6.25,9.29
ER-102.stp,238.0,242.0,240.6,526236.672,559689.975,541663.503,15.85,8.71,12.18
ER-103.stp,216.0,217.0,216.5,522007.804,548626.13,537923.007,13.2,5.26,9.5
ER-104.stp,205.0,208.0,206.9,603422.355,622166.675,612995.036,13.03,5.91,9.04
ER-105.stp,186.0,189.0,187.6,524201.683,548019.834,535981.086,14.22,8.29,11.17
ER-106.stp,167.0,171.0,168.8,622265.613,644167.167,636506.4,13.85,5.62,10.07
ER-107.stp,168.0,173.0,170.6,644299.801,673151.636,660140.058,15.69,7.61,12.18
ER-108.stp,160.0,165.0,162.1,536973.743,549455.499,543066.966,9.55,4.68,7.77
ER-109.stp,546.0,557.0,554.0,498810.236,520753.856,508696.091,11.24,4.31,8.42
