Instance,Time_Best_ms
wrp4-23.stp,15599.709
wrp3-22.stp,15610.833
es60fst12.stp,15748.556
ER-026.stp,15902.486
es70fst10.stp,15948.881
es70fst02.stp,16199.136
es70fst07.stp,16203.201
i640-232.stp,16457.31
es60fst13.stp,16617.987
es80fst06.stp,16996.644
i640-234.stp,17090.263
wrp3-21.stp,17199.871
mc2.stp,17251.667
wrp4-27.stp,17336.851
wrp3-26.stp,17374.228
i640-202.stp,17403.391
i640-231.stp,17568.625
wrp4-22.stp,17864.781
es70fst11.stp,17917.615
p464.stp,17963.662
wrp4-33.stp,18020.885
i320-313.stp,18056.948
es70fst05.stp,18450.469
wrp3-24.stp,18612.963
es70fst15.stp,19474.261
i320-312.stp,19833.714
es70fst06.stp,19920.19
p632.stp,20210.849
i320-314.stp,20212.867
es80fst07.stp,20276.717
diw0495.stp,20371.538
i320-311.stp,20404.495
i640-205.stp,20672.323
wrp3-29.stp,20823.815
wrp4-28.stp,20992.113
ER-028.stp,20998.455
wrp4-25.stp,21016.318
lin14.stp,21333.175
es80fst15.stp,21462.87
es80fst03.stp,21782.449
wrp3-27.stp,22421.168
es80fst04.stp,22512.549
c03.stp,22925.551
lin11.stp,23093.658
wrp3-25.stp,23138.648
es80fst02.stp,23162.494
es100fst04.stp,23206.245
i320-304.stp,23374.472
es80fst05.stp,23554.045
i640-233.stp,23767.529
es90fst01.stp,23861.706
es90fst14.stp,23974.38
es80fst10.stp,24363.598
es90fst05.stp,24403.594
wrp3-43.stp,24518.822
es70fst03.stp,24650.761
wrp3-28.stp,24850.772
es90fst04.stp,24856.933
i320-305.stp,25445.856
i640-204.stp,25597.763
es90fst06.stp,25714.901
ER-029.stp,25810.006
es80fst14.stp,25895.098
wrp4-32.stp,26009.547
i320-303.stp,26058.26
es100fst03.stp,26080.083
i320-301.stp,26250.617
es80fst01.stp,26271.344
wrp4-29.stp,26506.651
wrp3-31.stp,26908.819
i640-225.stp,27393.12
i320-332.stp,27568.168
es90fst07.stp,27944.983
i640-224.stp,27977.41
i640-222.stp,27979.938
i640-221.stp,28186.906
wrp4-26.stp,28196.278
i320-302.stp,28327.416
alue7229.stp,28362.923
i640-243.stp,28400.669
wrp3-41.stp,28639.342
i640-244.stp,28641.902
i320-343.stp,28793.253
i640-223.stp,29047.759
i320-345.stp,29259.339
i640-242.stp,29424.272
es80fst11.stp,29643.221
wrp4-24.stp,29731.559
es80fst08.stp,29734.636
es100fst14.stp,29740.281
i640-241.stp,30049.514
i320-344.stp,30083.693
es90fst08.stp,30207.87
p410.stp,30227.549
es90fst02.stp,30855.579
es100fst08.stp,31224.841
i640-245.stp,31607.488
i320-323.stp,31711.504
es70fst08.stp,31978.414
i320-322.stp,32040.98
i320-325.stp,32111.39
i320-324.stp,32199.525
i320-321.stp,32234.55
i320-341.stp,33139.967
p409.stp,33252.149
lin13.stp,33309.706
i320-342.stp,33317.891
wrp4-34.stp,33569.801
wrp4-45.stp,33619.992
es100fst05.stp,33844.563
wrp4-38.stp,34271.219
ER-031.stp,34338.461
es100fst10.stp,35109.464
es90fst15.stp,35254.1
es80fst09.stp,35865.608
i320-333.stp,35926.475
i320-335.stp,36263.409
wrp4-21.stp,37634.317
es100fst09.stp,37674.16
wrp4-31.stp,37708.402
ER-036.stp,37819.652
wrp4-30.stp,37946.246
ER-033.stp,38040.876
ER-032.stp,38202.094
i320-334.stp,39236.46
ER-030.stp,39803.893
es90fst13.stp,39818.435
lin16.stp,39972.79
ER-037.stp,40742.327
i320-331.stp,41740.098
p461.stp,41776.921
ER-035.stp,41903.817
wrp4-44.stp,42031.271
mc13.stp,42463.042
es90fst12.stp,43492.023
es90fst11.stp,44261.322
es90fst09.stp,44330.302
wrp3-33.stp,44914.617
ER-042.stp,44956.949
wrp3-36.stp,44986.448
ER-038.stp,45017.858
c08.stp,45318.987
es100fst15.stp,45356.007
alue2087.stp,45893.981
alue2105.stp,46258.648
wrp4-36.stp,47503.904
es90fst03.stp,47682.689
es90fst10.stp,47780.104
ER-046.stp,48221.66
es100fst13.stp,48442.23
es100fst01.stp,49241.363
alut2764.stp,49280.152
es100fst11.stp,49772.86
wrp3-30.stp,49959.62
ER-039.stp,50633.526
c04.stp,50722.471
ER-034.stp,51711.828
es100fst07.stp,52262.131
ER-041.stp,53602.357
p633.stp,55779.468
es100fst12.stp,59446.237
wrp4-35.stp,60932.924
wrp3-39.stp,62588.83
ER-044.stp,66093.863
alut0805.stp,67211.28
wrp4-37.stp,67418.57
wrp4-41.stp,67740.608
wrp3-38.stp,67968.155
es100fst06.stp,69465.276
lin15.stp,70987.984
c13.stp,71287.607
oddwheel3.stp,9.253
i080-005.stp,48.023
es10fst07.stp,48.115
ER-001.stp,89.654
lin01.stp,156.581
p455.stp,272.788
wrp3-12.stp,992.925
oddcycle3.stp,9.446
i080-015.stp,49.095
es10fst12.stp,49.376
ER-002.stp,172.019
lin03.stp,162.847
p401.stp,495.234
wrp4-11.stp,1300.832
design432.stp,12.523
p620.stp,58.046
es10fst05.stp,51.14
ER-004.stp,201.415
lin02.stp,192.253
p403.stp,536.109
wrp3-11.stp,2285.197
se03.stp,15.99
i080-041.stp,59.254
es10fst11.stp,56.151
ER-007.stp,424.856
lin07.stp,608.196
p402.stp,660.094
wrp4-13.stp,2533.023
antiwheel5.stp,25.385
i080-003.stp,65.383
es10fst02.stp,67.67
ER-009.stp,448.279
lin04.stp,856.301
p458.stp,835.786
wrp4-14.stp,2754.722
w13c29.stp,2617152.265
i080-034.stp,65.8
es10fst06.stp,70.238
ER-005.stp,514.837
lin06.stp,932.59
p406.stp,977.863
wrp3-14.stp,2895.725
w23c23.stp,4517244.123
i080-105.stp,66.055
es10fst15.stp,71.031
ER-006.stp,562.704
lin05.stp,1428.435
p456.stp,1084.482
wrp3-15.stp,3752.697
i080-132.stp,71.043
es10fst04.stp,71.547
ER-003.stp,641.228
diw0540.stp,2589.302
berlin52.stp,1390.434
wrp3-17.stp,4470.117
i080-043.stp,79.44
es10fst01.stp,82.241
ER-010.stp,1141.358
diw0250.stp,2977.354
p457.stp,1825.504
wrp3-16.stp,4491.702
i080-032.stp,82.422
es10fst13.stp,86.101
ER-008.stp,1668.123
diw0393.stp,3012.771
p404.stp,2109.001
wrp4-19.stp,4948.241
i080-011.stp,87.417
es10fst10.stp,93.244
ER-013.stp,2987.258
i080-025.stp,89.743
es10fst03.stp,102.177
i080-042.stp,91.881
es10fst09.stp,129.394
i080-023.stp,91.921
es10fst08.stp,138.122
i080-012.stp,92.235
es10fst14.stp,149.386
i080-004.stp,92.408
es20fst01.stp,228.686
i080-024.stp,95.452
es20fst06.stp,236.66
i080-131.stp,96.355
