Instance,Cost_Best,Cost_Worst,Cost_Avg,Time_Best_ms,Time_Worst_ms,Time_Avg_ms,Improvement_Best_%,Improvement_Worst_%,Improvement_Avg_%,Runs_Completed
es30fst01.stp,41271903.0,41312287.0,41307899.9,2267.724,2383.611,2316.319,3.89,2.03,2.98,10
es30fst02.stp,40900061.0,41045831.0,40992824.3,1860.115,2004.947,1954.771,5.66,1.52,3.48,10
es30fst03.stp,43217344.0,43355203.0,43258527.4,3312.353,3677.981,3493.362,7.27,2.79,4.87,10
es30fst04.stp,42167858.0,42333882.0,42202749.1,3556.277,3627.816,3585.455,10.54,2.26,6.03,10
es30fst05.stp,41825983.0,42375636.0,42296971.1,1537.902,1682.924,1624.309,5.86,1.22,4.08,10
es30fst06.stp,39938101.0,40178824.0,40032764.9,3167.322,3381.174,3273.152,9.23,2.66,5.71,10
es30fst07.stp,43761391.0,43761391.0,43761391.0,1040.094,1186.845,1117.092,7.72,2.99,4.73,10
es30fst08.stp,40858519.0,41501136.0,41181510.3,2516.728,2792.648,2629.537,11.17,1.53,6.58,10
es30fst09.stp,36827296.0,36827296.0,36827296.0,830.793,865.929,850.201,0.83,0.0,0.49,10
es30fst10.stp,42686610.0,42712004.0,42689149.4,939.272,975.242,954.873,2.05,0.26,0.82,10
es30fst11.stp,41695817.0,41841368.0,41728895.7,2014.567,2189.602,2118.003,7.55,0.92,4.93,10
es30fst12.stp,38416720.0,38416720.0,38416720.0,684.909,693.557,689.082,1.52,0.0,0.42,10
es30fst13.stp,37406646.0,37736615.0,37478206.5,1703.774,1855.078,1802.751,11.49,3.07,6.1,10
es30fst14.stp,42897025.0,42897025.0,42897025.0,889.465,913.152,900.477,0.06,0.0,0.05,10
es30fst15.stp,40524150.0,41174993.0,40820451.9,4778.816,5425.607,5140.452,12.08,5.3,9.7,10
es40fst01.stp,44356775.0,44830991.0,44639373.6,2823.285,3071.568,2950.423,4.44,1.1,2.66,10
es40fst02.stp,46811310.0,46823632.0,46819935.4,3604.529,4057.793,3834.517,7.47,2.97,4.22,10
es40fst03.stp,49732807.0,50212733.0,49946841.9,3065.204,3508.875,3204.705,6.33,2.91,4.46,10
es40fst04.stp,45289864.0,45289864.0,45289864.0,1445.767,1495.406,1471.926,1.11,0.0,0.36,10
es40fst05.stp,52101705.0,52770574.0,52442185.3,7652.872,8865.038,8262.742,6.05,2.81,4.76,10
es40fst06.stp,50306596.0,50470818.0,50396683.5,2240.785,2509.64,2363.941,5.13,0.0,2.92,10
es40fst07.stp,43945084.0,44253170.0,44031926.0,1795.757,1939.784,1870.085,4.7,0.93,2.44,10
es40fst08.stp,47569725.0,48349432.0,48021879.5,4473.913,4936.344,4760.709,9.37,0.95,5.76,10
es40fst09.stp,52413760.0,52882605.0,52619762.1,6074.567,6299.818,6179.641,7.03,2.59,4.84,10
es40fst10.stp,57136852.0,57949559.0,57634552.5,4162.49,4573.929,4449.828,8.34,1.87,4.27,10
es40fst11.stp,46862971.0,47198932.0,46984436.3,4545.54,4914.198,4693.134,7.94,1.44,3.9,10
es40fst12.stp,43843378.0,43843378.0,43843378.0,2603.11,2723.537,2664.411,3.7,0.31,1.36,10
es40fst13.stp,50964796.0,50964796.0,50964796.0,2075.873,2165.999,2111.816,3.78,0.3,1.47,10
es40fst14.stp,49166952.0,49636681.0,49413313.0,4152.776,4550.166,4361.653,7.48,1.81,4.61,10
es40fst15.stp,50388109.0,50913821.0,50599833.6,3732.733,3991.851,3849.949,4.34,2.65,3.61,10
es50fst01.stp,53935120.0,54088425.0,54020264.5,5429.87,5857.346,5636.52,3.74,0.55,1.69,10
es50fst02.stp,55748690.0,56285197.0,56070874.7,9700.668,10661.744,10095.296,6.61,1.85,3.82,10
es50fst03.stp,55297327.0,55771906.0,55534290.3,10946.831,11997.306,11508.295,5.96,2.18,4.19,10
es50fst04.stp,51492242.0,51862595.0,51706891.8,5049.29,5384.795,5171.451,5.57,0.95,3.14,10
es50fst05.stp,55200924.0,55329764.0,55271693.6,5134.245,5447.729,5270.069,8.87,1.9,5.02,10
es50fst06.stp,54265150.0,54643707.0,54481388.7,7143.059,7906.808,7544.41,7.69,2.11,3.74,10
es50fst07.stp,50130675.0,50225527.0,50174462.4,9204.711,10272.006,9598.016,6.39,0.75,3.87,10
es50fst08.stp,53754708.0,53998270.0,53859647.1,3454.577,3636.175,3525.234,1.41,0.58,1.01,10
es50fst09.stp,53839691.0,54446215.0,54144723.5,9899.659,10751.284,10321.824,5.22,1.7,2.98,10
es50fst10.stp,54506064.0,54886416.0,54692935.3,10446.539,11163.16,10782.638,7.21,2.13,3.98,10
es50fst11.stp,52672388.0,52880633.0,52768150.4,4687.164,4991.835,4810.694,5.99,2.18,4.07,10
es50fst12.stp,53667095.0,53813945.0,53683980.7,5694.37,6139.744,5960.997,2.89,1.5,2.19,10
es50fst13.stp,54032241.0,54382311.0,54126591.0,4038.132,4464.026,4229.255,4.47,0.58,2.08,10
es50fst14.stp,53704529.0,53961500.0,53836225.8,7147.831,7853.898,7466.424,5.19,1.43,2.97,10
es50fst15.stp,52180862.0,52335185.0,52279326.7,6193.195,6601.944,6437.4,5.69,2.34,3.99,10
